number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_classifier,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_num_leaves,state
55,2200943325.2004056,2025-11-25 22:29:33.245616,2025-11-25 22:29:35.012280,0 days 00:00:01.766664,,LightGBM,0.1236578246075355,,,,,100.0,COMPLETE
56,4186655669.4928985,2025-11-25 22:29:35.012926,2025-11-25 22:31:35.801339,0 days 00:02:00.788413,False,RandomForest,,25.0,2.0,6.0,189.0,,COMPLETE
57,2190175049.4141216,2025-11-25 22:31:35.802006,2025-11-25 22:31:37.147292,0 days 00:00:01.345286,,LightGBM,0.1035909176415064,,,,,82.0,COMPLETE
58,4791669824.226569,2025-11-25 22:31:37.147933,2025-11-25 22:31:37.219325,0 days 00:00:00.071392,,LinearRegression,,,,,,,COMPLETE
59,2203682813.4706206,2025-11-25 22:31:37.219984,2025-11-25 22:31:38.362143,0 days 00:00:01.142159,,LightGBM,0.09768942177519799,,,,,59.0,COMPLETE
60,2213724217.53388,2025-11-25 22:31:38.362745,2025-11-25 22:31:40.634873,0 days 00:00:02.272128,,LightGBM,0.07353604704225389,,,,,141.0,COMPLETE
61,2201719888.1324487,2025-11-25 22:31:40.635529,2025-11-25 22:31:41.951680,0 days 00:00:01.316151,,LightGBM,0.1131204327732981,,,,,81.0,COMPLETE
62,2189610319.748884,2025-11-25 22:31:41.952262,2025-11-25 22:31:43.336454,0 days 00:00:01.384192,,LightGBM,0.1113007203790984,,,,,71.0,COMPLETE
63,2208783684.184023,2025-11-25 22:31:43.337045,2025-11-25 22:31:45.096526,0 days 00:00:01.759481,,LightGBM,0.09994821612864838,,,,,70.0,COMPLETE
64,2248829643.979187,2025-11-25 22:31:45.097291,2025-11-25 22:31:47.836198,0 days 00:00:02.738907,,LightGBM,0.15881075226546504,,,,,124.0,COMPLETE
65,2235256245.3359327,2025-11-25 22:31:47.836837,2025-11-25 22:31:48.645463,0 days 00:00:00.808626,,LightGBM,0.13974075818490705,,,,,36.0,COMPLETE
66,2200881841.4829073,2025-11-25 22:31:48.646011,2025-11-25 22:31:49.938152,0 days 00:00:01.292141,,LightGBM,0.10873485800651052,,,,,73.0,COMPLETE
67,2541351250.150666,2025-11-25 22:31:49.938730,2025-11-25 22:33:47.426206,0 days 00:01:57.487476,True,RandomForest,,14.0,3.0,2.0,235.0,,COMPLETE
68,2242800644.0769873,2025-11-25 22:33:47.426862,2025-11-25 22:33:50.011497,0 days 00:00:02.584635,,LightGBM,0.059897794351151015,,,,,82.0,COMPLETE
69,2244455331.2633963,2025-11-25 22:33:50.011855,2025-11-25 22:33:51.440536,0 days 00:00:01.428681,,LightGBM,0.0854809810510083,,,,,51.0,COMPLETE
70,4812831940.588243,2025-11-25 22:33:51.440929,2025-11-25 22:33:52.594337,0 days 00:00:01.153408,,DecisionTree,,20.0,,,,,COMPLETE
71,2214223284.0693994,2025-11-25 22:33:52.594867,2025-11-25 22:33:54.763370,0 days 00:00:02.168503,,LightGBM,0.12660670797048348,,,,,87.0,COMPLETE
72,2189469570.8210917,2025-11-25 22:33:54.763752,2025-11-25 22:33:56.436769,0 days 00:00:01.673017,,LightGBM,0.13002425207685922,,,,,65.0,COMPLETE
73,2199270626.104499,2025-11-25 22:33:56.437121,2025-11-25 22:33:58.047098,0 days 00:00:01.609977,,LightGBM,0.10768359882165095,,,,,62.0,COMPLETE
74,2210540851.1838293,2025-11-25 22:33:58.047481,2025-11-25 22:33:59.869966,0 days 00:00:01.822485,,LightGBM,0.18097552041874745,,,,,72.0,COMPLETE
75,2192424198.344908,2025-11-25 22:33:59.870394,2025-11-25 22:34:01.673665,0 days 00:00:01.803271,,LightGBM,0.1519285620859377,,,,,68.0,COMPLETE
76,4791669824.226569,2025-11-25 22:34:01.674117,2025-11-25 22:34:01.724749,0 days 00:00:00.050632,,LinearRegression,,,,,,,COMPLETE
77,2220234330.4555016,2025-11-25 22:34:01.725227,2025-11-25 22:34:03.873643,0 days 00:00:02.148416,,LightGBM,0.15537200368211776,,,,,65.0,COMPLETE
78,2194621452.093924,2025-11-25 22:34:03.874033,2025-11-25 22:34:05.817548,0 days 00:00:01.943515,,LightGBM,0.1799585254806259,,,,,53.0,COMPLETE
79,2183966901.3523154,2025-11-25 22:34:05.817985,2025-11-25 22:34:08.395828,0 days 00:00:02.577843,,LightGBM,0.14897935751539718,,,,,77.0,COMPLETE
80,2204479089.455926,2025-11-25 22:34:08.396392,2025-11-25 22:34:11.362703,0 days 00:00:02.966311,,LightGBM,0.14618351647893982,,,,,80.0,COMPLETE
81,2192610306.336506,2025-11-25 22:34:11.363217,2025-11-25 22:34:14.768678,0 days 00:00:03.405461,,LightGBM,0.13237770269604993,,,,,77.0,COMPLETE
82,2201522707.860221,2025-11-25 22:34:14.769157,2025-11-25 22:34:17.633304,0 days 00:00:02.864147,,LightGBM,0.1309209345406784,,,,,76.0,COMPLETE
83,2206027600.6473045,2025-11-25 22:34:17.633793,2025-11-25 22:34:20.748330,0 days 00:00:03.114537,,LightGBM,0.15541426225329583,,,,,68.0,COMPLETE
84,2234768176.540577,2025-11-25 22:34:20.748774,2025-11-25 22:34:22.705387,0 days 00:00:01.956613,,LightGBM,0.172125433735027,,,,,44.0,COMPLETE
85,2243420649.8955436,2025-11-25 22:34:22.705808,2025-11-25 22:34:25.309841,0 days 00:00:02.604033,,LightGBM,0.07228330792788154,,,,,62.0,COMPLETE
86,3972621965.1926713,2025-11-25 22:34:25.310281,2025-11-25 22:35:20.498726,0 days 00:00:55.188445,False,RandomForest,,8.0,2.0,7.0,112.0,,COMPLETE
87,2192669998.125313,2025-11-25 22:35:20.499279,2025-11-25 22:35:22.428263,0 days 00:00:01.928984,,LightGBM,0.13170002469053083,,,,,78.0,COMPLETE
88,2190102273.76039,2025-11-25 22:35:22.428613,2025-11-25 22:35:24.356973,0 days 00:00:01.928360,,LightGBM,0.13176180487237688,,,,,77.0,COMPLETE
89,4847851424.284418,2025-11-25 22:35:24.357379,2025-11-25 22:35:25.563940,0 days 00:00:01.206561,,DecisionTree,,27.0,,,,,COMPLETE
90,2190338860.2430487,2025-11-25 22:35:25.565263,2025-11-25 22:35:27.432687,0 days 00:00:01.867424,,LightGBM,0.13338068666669772,,,,,75.0,COMPLETE
91,2193954666.521253,2025-11-25 22:35:27.433065,2025-11-25 22:35:29.626497,0 days 00:00:02.193432,,LightGBM,0.13369023302799143,,,,,76.0,COMPLETE
92,2203410411.440374,2025-11-25 22:35:29.626838,2025-11-25 22:35:32.089943,0 days 00:00:02.463105,,LightGBM,0.14718437287762764,,,,,68.0,COMPLETE
93,2204812039.486907,2025-11-25 22:35:32.090288,2025-11-25 22:35:35.837647,0 days 00:00:03.747359,,LightGBM,0.1612164507740554,,,,,84.0,COMPLETE
94,2193874555.6532564,2025-11-25 22:35:35.838097,2025-11-25 22:35:39.284362,0 days 00:00:03.446265,,LightGBM,0.1311843888066445,,,,,73.0,COMPLETE
95,2203523954.691926,2025-11-25 22:35:39.284828,2025-11-25 22:35:42.703676,0 days 00:00:03.418848,,LightGBM,0.11682694798444451,,,,,79.0,COMPLETE
96,4791669824.226569,2025-11-25 22:35:42.704138,2025-11-25 22:35:42.762266,0 days 00:00:00.058128,,LinearRegression,,,,,,,COMPLETE
97,2181959417.537229,2025-11-25 22:35:42.762754,2025-11-25 22:35:45.234952,0 days 00:00:02.472198,,LightGBM,0.1462350357838196,,,,,65.0,COMPLETE
98,2190863407.1643534,2025-11-25 22:35:45.235416,2025-11-25 22:35:46.434119,0 days 00:00:01.198703,,LightGBM,0.14920948536156894,,,,,56.0,COMPLETE
99,2237922524.9225492,2025-11-25 22:35:46.434687,2025-11-25 22:35:47.566156,0 days 00:00:01.131469,,LightGBM,0.19192257279758326,,,,,55.0,COMPLETE
