number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_classifier,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_num_leaves,state
67,2203375698.183621,2025-11-28 01:37:35.024942,2025-11-28 01:37:36.580416,0 days 00:00:01.555474,,LightGBM,0.10001352712329224,,,,,78.0,COMPLETE
68,2233142618.156148,2025-11-28 01:37:36.581022,2025-11-28 01:37:38.250651,0 days 00:00:01.669629,,LightGBM,0.0685620558529766,,,,,81.0,COMPLETE
69,2217305321.4011445,2025-11-28 01:37:38.251300,2025-11-28 01:37:40.178141,0 days 00:00:01.926841,,LightGBM,0.14649497171822656,,,,,116.0,COMPLETE
70,2192812365.708667,2025-11-28 01:37:40.178937,2025-11-28 01:37:41.454643,0 days 00:00:01.275706,,LightGBM,0.1119315781624558,,,,,63.0,COMPLETE
71,2192352728.926393,2025-11-28 01:37:41.455195,2025-11-28 01:37:42.581646,0 days 00:00:01.126451,,LightGBM,0.11457482272565297,,,,,63.0,COMPLETE
72,2217106829.7154098,2025-11-28 01:37:42.582242,2025-11-28 01:37:43.737840,0 days 00:00:01.155598,,LightGBM,0.08595008842485287,,,,,59.0,COMPLETE
73,2199494005.6835427,2025-11-28 01:37:43.738431,2025-11-28 01:37:44.718035,0 days 00:00:00.979604,,LightGBM,0.11953815298334872,,,,,56.0,COMPLETE
74,2205037271.0391474,2025-11-28 01:37:44.718588,2025-11-28 01:37:45.946021,0 days 00:00:01.227433,,LightGBM,0.16543775569751168,,,,,69.0,COMPLETE
75,2228835697.678879,2025-11-28 01:37:45.946629,2025-11-28 01:37:46.946600,0 days 00:00:00.999971,,LightGBM,0.10754193170669744,,,,,45.0,COMPLETE
76,4791669824.226569,2025-11-28 01:37:46.947177,2025-11-28 01:37:47.032904,0 days 00:00:00.085727,,LinearRegression,,,,,,,COMPLETE
77,2227971511.4087825,2025-11-28 01:37:47.033591,2025-11-28 01:37:48.169478,0 days 00:00:01.135887,,LightGBM,0.19090136632279114,,,,,63.0,COMPLETE
78,3354497395.6243687,2025-11-28 01:37:48.170065,2025-11-28 01:38:05.724088,0 days 00:00:17.554023,True,RandomForest,,8.0,3.0,10.0,68.0,,COMPLETE
79,2201536881.1558933,2025-11-28 01:38:05.724556,2025-11-28 01:38:06.903509,0 days 00:00:01.178953,,LightGBM,0.11508664539782083,,,,,66.0,COMPLETE
80,2189409481.2842183,2025-11-28 01:38:06.904132,2025-11-28 01:38:07.941326,0 days 00:00:01.037194,,LightGBM,0.13507329270440616,,,,,51.0,COMPLETE
81,2203091872.332742,2025-11-28 01:38:07.941909,2025-11-28 01:38:09.030959,0 days 00:00:01.089050,,LightGBM,0.1320534330012195,,,,,51.0,COMPLETE
82,2227368385.267151,2025-11-28 01:38:09.031613,2025-11-28 01:38:09.967992,0 days 00:00:00.936379,,LightGBM,0.14902883018110594,,,,,38.0,COMPLETE
83,2314850091.752389,2025-11-28 01:38:09.968600,2025-11-28 01:38:11.260389,0 days 00:00:01.291789,,LightGBM,0.2745417993272813,,,,,75.0,COMPLETE
84,2228368217.669119,2025-11-28 01:38:11.260985,2025-11-28 01:38:12.378716,0 days 00:00:01.117731,,LightGBM,0.09532078631592081,,,,,54.0,COMPLETE
85,4393983805.9702215,2025-11-28 01:38:12.379247,2025-11-28 01:38:13.158602,0 days 00:00:00.779355,,DecisionTree,,14.0,,,,,COMPLETE
86,2199831959.585729,2025-11-28 01:38:13.159261,2025-11-28 01:38:14.280894,0 days 00:00:01.121633,,LightGBM,0.11141682006521256,,,,,62.0,COMPLETE
87,2230237091.711384,2025-11-28 01:38:14.281453,2025-11-28 01:38:15.186835,0 days 00:00:00.905382,,LightGBM,0.13135467337008758,,,,,42.0,COMPLETE
88,2195920162.757473,2025-11-28 01:38:15.187456,2025-11-28 01:38:16.783625,0 days 00:00:01.596169,,LightGBM,0.08790865014684277,,,,,90.0,COMPLETE
89,2274104313.9605474,2025-11-28 01:38:16.784202,2025-11-28 01:38:17.633629,0 days 00:00:00.849427,,LightGBM,0.10490817320845021,,,,,35.0,COMPLETE
90,4791669824.226569,2025-11-28 01:38:17.634214,2025-11-28 01:38:17.717530,0 days 00:00:00.083316,,LinearRegression,,,,,,,COMPLETE
91,2201296747.000129,2025-11-28 01:38:17.718113,2025-11-28 01:38:19.391848,0 days 00:00:01.673735,,LightGBM,0.11989743489802814,,,,,99.0,COMPLETE
92,2190545453.5366664,2025-11-28 01:38:19.392454,2025-11-28 01:38:21.239770,0 days 00:00:01.847316,,LightGBM,0.0953529068741826,,,,,108.0,COMPLETE
93,2202291961.3113375,2025-11-28 01:38:21.240421,2025-11-28 01:38:23.124042,0 days 00:00:01.883621,,LightGBM,0.08064850500659193,,,,,107.0,COMPLETE
94,2209916463.9406652,2025-11-28 01:38:23.124624,2025-11-28 01:38:25.216054,0 days 00:00:02.091430,,LightGBM,0.09639528076753794,,,,,116.0,COMPLETE
95,2357542034.3137527,2025-11-28 01:38:25.216731,2025-11-28 01:38:26.918535,0 days 00:00:01.701804,,LightGBM,0.2949587835678512,,,,,109.0,COMPLETE
96,2201150340.627007,2025-11-28 01:38:26.919168,2025-11-28 01:38:28.542133,0 days 00:00:01.622965,,LightGBM,0.09264281736137184,,,,,84.0,COMPLETE
97,2275796708.9759154,2025-11-28 01:38:28.542735,2025-11-28 01:38:30.347360,0 days 00:00:01.804625,,LightGBM,0.052957919199090125,,,,,94.0,COMPLETE
98,2236440264.920391,2025-11-28 01:38:30.347986,2025-11-28 01:38:31.738660,0 days 00:00:01.390674,,LightGBM,0.07631587581305835,,,,,71.0,COMPLETE
99,2219661486.027603,2025-11-28 01:38:31.739288,2025-11-28 01:38:33.490177,0 days 00:00:01.750889,,LightGBM,0.16005792348149056,,,,,100.0,COMPLETE
